CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
20211201000000,342916,UNKNOWN,unknown,4087794.0
20220301000000,347932,UNKNOWN,unknown,4082837.0
20220601000000,353171,UNKNOWN,unknown,4101499.0
20220901000000,349676,UNKNOWN,unknown,4099455.0
20221201000000,346890,UNKNOWN,unknown,4088426.0
20230301000000,345078,UNKNOWN,unknown,4073013.0
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000022016100,,UNKNOWN,unknown,
00000000000003,,UNKNOWN,unknown,
00000720172023,,UNKNOWN,unknown,
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000020152023,,UNKNOWN,unknown,
20150301000000,9876148,UNKNOWN,unknown,50240669.0
20150601000000,9881299,UNKNOWN,unknown,50122664.0
20150901000000,9832226,UNKNOWN,unknown,49731628.0
20151201000000,9735173,UNKNOWN,unknown,49279085.0
20160301000000,9639084,UNKNOWN,unknown,48614271.0
20160601000000,9580340,UNKNOWN,unknown,48266704.0
20160901000000,9521694,UNKNOWN,unknown,47927181.0
20161201000000,9455509,UNKNOWN,unknown,47685266.0
20170301000000,9391547,UNKNOWN,unknown,47366416.0
20170601000000,9336986,UNKNOWN,unknown,47320926.0
20170901000000,9285375,UNKNOWN,unknown,47185284.0
20171201000000,9226965,UNKNOWN,unknown,47144909.0
20180301000000,9186078,UNKNOWN,unknown,47009249.0
20180601000000,9167193,UNKNOWN,unknown,47115883.0
20180901000000,9120651,UNKNOWN,unknown,47140156.0
20181201000000,9129331,UNKNOWN,unknown,47139003.0
20190301000000,9050748,UNKNOWN,unknown,46921502.0
20190601000000,9048018,UNKNOWN,unknown,47023317.0
20190901000000,9038245,UNKNOWN,unknown,47026045.0
20191201000000,9037433,UNKNOWN,unknown,47070879.0
20200301000000,9002339,UNKNOWN,unknown,47068308.0
20200601000000,8938176,UNKNOWN,unknown,46653924.0
20200901000000,8999936,UNKNOWN,unknown,46972398.0
20201201000000,9038110,UNKNOWN,unknown,47476168.0
